ID,UUID, LocationTitle,AddressLine1,AddressLine2,Town,StateOrProvince,Postcode,Country,Latitude,Longitude,state_norm,ports_original,ports_inferred,ports_rule,is_fast_dc,avg_sessions_per_day_site,avg_sessions_per_day_per_port,gdp_mult,urban_mult,fast_mult,baseline_used,sigma_noise,cap_max
460899,FCC31F95-5CF8-4D3A-AB4A-07F75FD21B75,[Restricted] THE LEAFZ BY EXSIM (Residential Condo),The Leafz by EXSIM,,Kuala Lumpur,Kuala Lumpur,57100,,3.085547,101.695,Kuala Lumpur,,2,Default AC heuristic,0,5.26,2.63,1.35,1.35,1.0,2.0,0.3,60.0
460898,124D4DDC-4103-4C81-9350-3C36F20B6627,[Restricted] SUBANG PARKHOMES (Residential Condo),Subang Parkhomes,,Subang Jaya,UNKNOWN,47500,,3.077366,101.5718,UNKNOWN,,2,Default AC heuristic,0,2.81,1.41,1.0,1.05,1.0,2.0,0.3,60.0
460897,5B1F4B99-D626-44F9-82BF-7EA2334B3A05,SUNWAY PYRAMID (Public Area),"3, Jalan PJS 11/15, Bandar Sunway",,Petaling Jaya,UNKNOWN,47500,,3.072698,101.604675,UNKNOWN,,6,Venue multi-bay heuristic,0,4.25,0.71,1.0,1.05,1.0,2.0,0.3,60.0
460896,DCB1F234-AAA4-4AD9-AEE1-C96387AAAA9A,SILK SKY SERVICED APARTMENT (Residential Condo),Silk Sky Service Apartment,,Seri Kembangan,UNKNOWN,43300,,3.027286,101.750374,UNKNOWN,,1,Default AC heuristic,0,2.17,2.17,1.0,1.05,1.0,2.0,0.3,60.0
460895,C61FE2C8-788A-4723-BE2F-779561D6A6B7,[Restricted] SPRINGVILLE RESIDENCE (Residential Condo),Springville Residence,,Seri Kembangan,UNKNOWN,43300,,3.000393,101.679359,UNKNOWN,,1,Default AC heuristic,0,1.69,1.69,1.0,1.05,1.0,2.0,0.3,60.0
460894,82AF8E86-A30D-455B-BC59-462BB5A04079,[Restricted] BSP 21 BLOCK G (Residential Condo),"Block G, BSP21",,Jenjarom,UNKNOWN,42610,,2.94521,101.590233,UNKNOWN,,1,Default AC heuristic,0,1.23,1.23,1.0,1.05,1.0,2.0,0.3,60.0
460893,D224AF28-C306-45AF-9104-3FCCEE1F88CD,[Restricted] BSP 21 BLOCK B & D (Residential Condo),BSP21,,Jenjarom,UNKNOWN,42610,,2.942995,101.589699,UNKNOWN,,2,Default AC heuristic,0,2.46,1.23,1.0,1.05,1.0,2.0,0.3,60.0
460892,52D3E9FB-2A6A-423A-A415-DBB1A0696A8D,GRAND SWISS-BELHOTEL (Commercial),Grand Swiss-Belhotel Melaka,,Melaka,Melaka,75300,,2.210585,102.24588,Melaka,,3,Venue multi-bay heuristic,0,4.32,1.44,1.08,1.05,1.0,2.0,0.3,60.0
460665,6374AB88-EC39-47A8-9EBD-2E237E23A11D,Perdana View Condo,"No. 21, Jalan PJU 8/1.",Damansara Perdana,Petaling Jaya,Selangor,47820,,3.170716173,101.6024542,Selangor,,2,Default AC heuristic,0,5.5,2.75,1.35,1.35,1.0,2.0,0.3,60.0
460649,7E441959-4969-4FF3-8E3D-85A2CCC8422F,Machap R&R Southbound,North-South Expy,,Simpang Renggam,Johor,86200,,1.8962638,103.2283679,Johor,,2,Default AC heuristic,0,5.82,2.91,1.08,1.35,1.0,2.0,0.3,60.0
460551,16D7CD6E-4BBB-4D66-83DC-A2F8A072AF62,Marc Residence,Jalan Song Ban Kheng,,Bukit Mertajam,Pulau Pinang,14000,,5.349489516,100.459979,Penang,,1,Default AC heuristic,0,4.86,4.86,1.35,1.35,1.0,2.0,0.3,60.0
460247,EDCDEE64-F4DB-47DC-AF0B-2588B047FB77,Petron Bandar Tasik Puteri EB by DC Handal,Petron Bandar Tasik Puteri EB,Jalan Tasik Puteri,Rawang,Selangor,48020,,3.29193609,101.4792615,Selangor,,1,Default AC heuristic,0,4.3,4.3,1.35,1.35,1.0,2.0,0.3,60.0
460234,CD447160-16DF-4C17-952F-DD3618889F90,GO TO-U EDUCITY HUB @ ISKANDAR PUTERI,"NO 3, STUDENT HUB",JLN KAMPUNG LALANG,ISKANDAR PUTERI,JOHOR DARUL TA'ZIM,79250,,1.431965293,103.6172703,Johor,,2,Default AC heuristic,0,4.18,2.09,1.08,1.35,1.0,2.0,0.3,60.0
459797,C392AD59-02FB-4FB5-9B5E-67B088AB50C8,MYDIN KUBANG KERIAN (Shopping Mall),Mydin Kubang Kerian,,Kota Bharu,UNKNOWN,15200,,6.097991,102.277771,UNKNOWN,,2,Default AC heuristic,0,4.05,2.02,1.0,1.05,1.0,2.0,0.3,60.0
459796,D1EBCE42-03F6-4BAD-87AE-037785D83D12,THE WALK @ RIVERSON (Shopping Mall),Riverson,,Kota Kinabalu,UNKNOWN,8810,,5.969017,116.064499,UNKNOWN,,2,Default AC heuristic,0,3.32,1.66,1.0,1.05,1.0,2.0,0.3,60.0
459795,BB4B2960-AE1A-476B-91F4-205E5DA29685,LIDO PLAZA 2 (Shopping Mall),Lido Plaza,,Penampang,UNKNOWN,88300,,5.936645,116.082413,UNKNOWN,,2,Default AC heuristic,0,4.41,2.21,1.0,1.05,1.0,2.0,0.3,60.0
459794,AD69535C-1CE4-4047-B901-55576DA34803,PERMAIPURA GOLF & COUNTRY CLUB (Golf Course),Permaipura Golf & Country Club,,Bedong,UNKNOWN,8100,,5.728236,100.527924,UNKNOWN,,2,Default AC heuristic,0,2.45,1.23,1.0,1.05,1.0,2.0,0.3,60.0
459793,F71F9466-FA14-436A-A432-AE61A760AAFC,CINTA SAYANG RESORT (Hotel),Cinta Sayang Resort,,Sungai Petani,UNKNOWN,8000,,5.659039,100.518845,UNKNOWN,,5,Venue multi-bay heuristic,0,4.4,0.88,1.0,1.05,1.0,2.0,0.3,60.0
459792,25EE1F6A-BC49-402C-B673-673CEE017631,PUREST HOTEL SUNGAI PETANI (Hotel),Purest Hotel Sungai Petani Kedah,,Sungai Petani,Kedah,8000,,5.614636,100.482018,Kedah,,7,Venue multi-bay heuristic,0,4.35,0.62,0.9,1.05,1.0,2.0,0.3,60.0
459791,FAC935B7-922D-4795-89B2-7078683AB26D,THE REEF PENANG (Residential Condo),The Reef,,Batu Ferringhi,UNKNOWN,11100,,5.477899,100.269989,UNKNOWN,,2,Default AC heuristic,0,3.45,1.73,1.0,1.05,1.0,2.0,0.3,60.0
459790,7E457D2B-3297-42F6-8D30-05F87CE65A1A,[Restricted] SURIN CONDOMINIUM (Residential Condo),SURIN BLOCK A,,TANJUNG BUNGAH,UNKNOWN,11200,,5.466606,100.274902,UNKNOWN,,2,Default AC heuristic,0,5.47,2.73,1.0,1.05,1.0,2.0,0.3,60.0
459789,28AB40F6-DBB3-4187-96EE-02DF805FE4EF,[Restricted] ONE TANJONG (TOWER A) (Residential Condo),One Tanjong by Lone Pine Group,,George Town,UNKNOWN,11200,,5.466416,100.293724,UNKNOWN,,2,Default AC heuristic,0,1.4,0.7,1.0,1.05,1.0,2.0,0.3,60.0
459788,4B510187-3CDB-48BB-817E-D5F46A01642E,[Restricted] PEARL VIEW CONDOMINIUM (Residential Condo),Pearl View Condominium,,Penang Hill,Penang,11200,,5.464443,100.295944,Penang,,2,Default AC heuristic,0,4.73,2.37,1.35,1.35,1.0,2.0,0.3,60.0
459787,7FFFF6AB-F29D-4C8D-8990-4503D84B27E0,[Restricted] TAMAN LEADER CONDOMINIUM (Residential Condo),"1, Jalan Chee Seng 13, Taman Leader, 11200 Tanjung Bungah, Pulau Pinang, Malaysia",,Tanjung Bungah,Penang,11200,,5.463445,100.277107,Penang,,1,Default AC heuristic,0,3.28,3.28,1.35,1.35,1.0,2.0,0.3,60.0
459786,22DC6BA8-1478-49FE-95B7-7E666608F898,MBPP PASAR TANJONG BUNGAH (Public Area),Pasar & Kompleks Makan Tanjung Bungah/தஞ்சோங் பூங்கா சந்தை வளாகம்,,Tanjung Bungah,UNKNOWN,11200,,5.46335,100.28508,UNKNOWN,,1,Default AC heuristic,0,1.69,1.69,1.0,1.05,1.0,2.0,0.3,60.0
459785,8BFFB673-2BB8-4EC4-AA14-3549ACB40D6C,ANGSANA TELUK BAHANG PENANG (Hotel),"Angsana Teluk Bahang, Penang",,Tanjong Bungah,Penang,11050,,5.461868,100.219742,Penang,,1,Default AC heuristic,0,1.59,1.59,1.35,1.35,1.0,2.0,0.3,60.0
459784,76B9FD61-47C3-4FCF-86DF-21E9AE0D772E,[Restricted] QUAYSIDE CONDOMINIUM (Residential Condo),Quayside Condominium,,Georgetown,UNKNOWN,13050,,5.460772,100.312714,UNKNOWN,,2,Default AC heuristic,0,2.0,1.0,1.0,1.05,1.0,2.0,0.3,60.0
459783,E3562F6E-7C2A-40BA-9973-44350E1E29C2,[Restricted] TAMARIND CONDO PENANG (Residential Condo),Tamarind Penang,,Tanjung Tokong,Penang,10470,,5.456723,100.309563,Penang,,2,Default AC heuristic,0,3.48,1.74,1.35,1.35,1.0,2.0,0.3,60.0
459782,1DD9DAD2-FE3B-4B1F-A2BC-A3D7DBC88080,[Restricted] I-SANTORINI CONDOMINIUM (Residential Condo),I-Santorini,,Tanjung Tokong,UNKNOWN,10470,,5.455225,100.309143,UNKNOWN,,1,Default AC heuristic,0,2.06,2.06,1.0,1.05,1.0,2.0,0.3,60.0
459781,6E81C87C-3375-4F71-BA7E-8BAE2B093B45,[Restricted] MARINOX SKY VILLAS (Residential Condo),Marinox Sky Villas,,Tanjung Tokong,UNKNOWN,10470,,5.454387,100.310135,UNKNOWN,,2,Default AC heuristic,0,3.97,1.98,1.0,1.05,1.0,2.0,0.3,60.0
459780,0343D772-B641-4BD8-A52D-7545A881F420,[Restricted] THE BREZZA CONDOMINIUM BLOCK A (Residential Condo),The Brezza Condominium,,Tanjung Tokong,UNKNOWN,10470,,5.453275,100.308083,UNKNOWN,,1,Default AC heuristic,0,1.99,1.99,1.0,1.05,1.0,2.0,0.3,60.0
459778,C68CFB75-F289-4FF1-90F3-D51C13B5E658,[Restricted] TANJUNG PARK CONDOMINIUM (OUTDOOR) (Residential Condo),Persiaran Lengkuas,,Pulau Pinang,Penang,11200,,5.450167,100.304626,Penang,,1,Default AC heuristic,0,2.72,2.72,1.35,1.35,1.0,2.0,0.3,60.0
459777,2F33F0C8-8DD8-4EB6-B061-B2F1AB347DD9,MBPP PRECINT 10 (Public Area),Precinct 10,,George Town,UNKNOWN,10470,,5.448701,100.30558,UNKNOWN,,2,Default AC heuristic,0,4.15,2.07,1.0,1.05,1.0,2.0,0.3,60.0
459776,22C0CA07-EE44-41CC-B29A-9C0FE23F2BC6,[Restricted] MONT RESIDENCES PENANG (Residential Condo),Mont Residence,,Georgetown,UNKNOWN,10470,,5.446555,100.29882,UNKNOWN,,1,Default AC heuristic,0,2.44,2.44,1.0,1.05,1.0,2.0,0.3,60.0
459775,46BFA6B3-2D3A-4459-84A7-B825566A5049,G HOTEL GURNEY (Hotel),G Hotel Gurney,,Georgetown,UNKNOWN,10250,,5.437557,100.310631,UNKNOWN,,4,Venue multi-bay heuristic,0,5.62,1.41,1.0,1.05,1.0,2.0,0.3,60.0
459774,444E5516-11B8-4956-A11E-96BD9CDF6E46,G KELAWAI HOTEL (Hotel),G Hotel Kelawai,,Georgetown,UNKNOWN,10250,,5.435551,100.309929,UNKNOWN,,7,Venue multi-bay heuristic,0,6.39,0.91,1.0,1.05,1.0,2.0,0.3,60.0
459773,0FC4A99A-89F8-4471-8882-B78232702848,MBPP JALAN CONCORDIA (Public Area),Jalan Concordia,,George Town,UNKNOWN,10250,,5.434278,100.314377,UNKNOWN,,1,Default AC heuristic,0,2.98,2.98,1.0,1.05,1.0,2.0,0.3,60.0
459772,374DD681-C390-4017-B5CC-59983BC44826,[Restricted] SETIA V RESIDENCES (Residential Condo),SETIA V RESIDENCES,,GEORGE TOWN,UNKNOWN,10250,,5.432878,100.314827,UNKNOWN,,1,Default AC heuristic,0,2.48,2.48,1.0,1.05,1.0,2.0,0.3,60.0
459771,244F56FE-3604-47C0-8716-E1B64B59EFBE,MBPP JALAN ARRATOON (Public Area),Jalan Arratoon,,George Town,UNKNOWN,10450,,5.422729,100.323074,UNKNOWN,,2,Default AC heuristic,0,2.84,1.42,1.0,1.05,1.0,2.0,0.3,60.0
459770,BB3F774E-6148-418A-A744-CFCBA93D5F02,MBPP LEBUH UNION (Public Area),Lebuh Union,,George Town,UNKNOWN,10200,,5.419094,100.342606,UNKNOWN,,1,Default AC heuristic,0,1.9,1.9,1.0,1.05,1.0,2.0,0.3,60.0
459769,48F78694-9BE1-43B6-889F-190D4D0E058B,MBPP LEBUH DICKENS (Public Area),Ee Beng Vegetarian Food,,George Town,UNKNOWN,10050,,5.418923,100.330742,UNKNOWN,,1,Default AC heuristic,0,1.74,1.74,1.0,1.05,1.0,2.0,0.3,60.0
459768,5347F6C7-3322-4F84-BC2B-926BEC3E11A2,[Restricted] ELEMENTS GARDEN (Residential Condo),Elements Garden,,Butterworth,UNKNOWN,13400,,5.417818,100.382507,UNKNOWN,,2,Default AC heuristic,0,1.94,0.97,1.0,1.05,1.0,2.0,0.3,60.0
459767,E6952273-3C0B-4351-B432-CC00F3CF403A,MBPP LEBUH CINTRA (Public Area),Wen Chang Hainan Chicken Rice,,George Town,UNKNOWN,10200,,5.417183,100.333359,UNKNOWN,,2,Default AC heuristic,0,1.61,0.81,1.0,1.05,1.0,2.0,0.3,60.0
459766,10A025CE-6C50-4BAC-8577-3AF4FE303FAF,MBPP LEBUH PASAR (LITTLE INDIA) (Public Area),Penang Little India,,George Town,Penang,10200,,5.416258,100.340462,Penang,,1,Default AC heuristic,0,3.18,3.18,1.35,1.35,1.0,2.0,0.3,60.0
459765,1CAD7527-AFD6-430C-B076-32C9606EAFC8,MBPP GAT LEBUH GEREJA (Public Area),Gat Lebuh Gereja,,George Town,UNKNOWN,10300,,5.415994,100.343353,UNKNOWN,,2,Default AC heuristic,0,5.04,2.52,1.0,1.05,1.0,2.0,0.3,60.0
459764,5E7A6491-155D-44C2-8D8D-FD79F0B8D61A,MBPP GAT LEBUH CHINA (Public Area),Wisma Yeap Chor Ee,,George Town,UNKNOWN,10300,,5.415108,100.342506,UNKNOWN,,1,Default AC heuristic,0,2.03,2.03,1.0,1.05,1.0,2.0,0.3,60.0
459763,7A1DE08C-7D79-42AE-9380-298A4D7BCE08,1ST AVENUE PENANG (Shopping Mall),1st Avenue Mall,,Georgetown,UNKNOWN,10300,,5.413373,100.331314,UNKNOWN,,7,Venue multi-bay heuristic,0,5.57,0.8,1.0,1.05,1.0,2.0,0.3,60.0
459762,F9714195-BAF4-4262-93FC-326566625207,CYC HERITAGE HOTEL (Hotel),CYC Heritage Hotel,,George Town,UNKNOWN,10300,,5.408709,100.331421,UNKNOWN,,6,Venue multi-bay heuristic,0,5.64,0.94,1.0,1.05,1.0,2.0,0.3,60.0
459761,4B611976-B7F1-44BA-A9BB-BAB2B8F05E11,[Restricted] SANDILANDS CONDOMINIUM (Residential Condo),Sandilands Condominium,,Georgetown,UNKNOWN,10300,,5.405225,100.329376,UNKNOWN,,2,Default AC heuristic,0,2.32,1.16,1.0,1.05,1.0,2.0,0.3,60.0
459760,7BB1A660-FD8E-4546-BE2B-BF9C55420647,MBPP JALAN PASAR (KEK LOK SI) (Public Area),"617, Jalan Balik Pulau, Pekan Ayer Itam",,Air Itam,UNKNOWN,11500,,5.401554,100.27655,UNKNOWN,,1,Default AC heuristic,0,2.76,2.76,1.0,1.05,1.0,2.0,0.3,60.0
459759,D25781E6-B0F3-40B7-92DB-16B687D26A63,[Restricted] WOODSBURY SUITES (Residential Condo),Woodsbury Suites Butterworth,,Butterworth,UNKNOWN,12100,,5.39948,100.374596,UNKNOWN,,2,Default AC heuristic,0,2.32,1.16,1.0,1.05,1.0,2.0,0.3,60.0
459758,8A3FE00B-0659-4D34-9137-0A4A0AB57CCE,MBPP PERSIARAN KARPAL SINGH (Public Area),Family Mart Karpal Singh,,Jelutong,UNKNOWN,11600,,5.398926,100.329536,UNKNOWN,,1,Default AC heuristic,0,1.36,1.36,1.0,1.05,1.0,2.0,0.3,60.0
459757,009A8531-393C-41AF-A717-A171303EACB4,[Restricted] BOULEVARD PENANG CONDOMINIUM (Residential Condo),Boulevard Condominium,,Ayer Itam,UNKNOWN,11500,,5.397755,100.294464,UNKNOWN,,1,Default AC heuristic,0,2.11,2.11,1.0,1.05,1.0,2.0,0.3,60.0
459756,66D67430-B0C5-48FF-9E05-56239ABFBCD3,[Restricted] LUMINARI RESIDENCES (Residential Condo),Luminari Residences,,Butterworth,UNKNOWN,12100,,5.397302,100.373077,UNKNOWN,,2,Default AC heuristic,0,3.46,1.73,1.0,1.05,1.0,2.0,0.3,60.0
459755,A9B11D81-B62F-4754-81FF-D3FF298DBBCC,[Restricted] THE SPRING CONDOMINIUM (Residential Condo),The Spring Condominium,,Sungai Pinang,UNKNOWN,11600,,5.396901,100.325943,UNKNOWN,,1,Default AC heuristic,0,2.38,2.38,1.0,1.05,1.0,2.0,0.3,60.0
459754,0565F9BC-A230-43FB-8DFF-7FFEE943D21B,MBPP JALAN MASJID NEGERI (Public Area),Jalan Masjid Negeri,,Jelutong,UNKNOWN,11600,,5.396493,100.304092,UNKNOWN,,2,Default AC heuristic,0,2.17,1.08,1.0,1.05,1.0,2.0,0.3,60.0
459753,E0C18FA5-F209-4578-B2E9-9AF9CE8E33C0,SUNWAY MEDICAL CENTRE PENANG (LEVEL 1B) (Medical),Sunway Medical Centre Penang,,Perai,Penang,13700,,5.395644,100.396744,Penang,,7,Venue multi-bay heuristic,0,9.33,1.33,1.35,1.35,1.0,2.0,0.3,60.0
459752,9BCFA047-65BA-453F-B18E-8AA5E78C650F,MBPP JALAN LENGGONG (Public Area),Jalan Lenggong,,Jelutong,UNKNOWN,11600,,5.395393,100.31691,UNKNOWN,,1,Default AC heuristic,0,3.55,3.55,1.0,1.05,1.0,2.0,0.3,60.0
459751,DAE1316D-9378-4103-962F-FB3ED76F2BC2,MBPP JALAN TAN SRI TEH EWE LIM (Public Area),Jalan Tan Sri Teh Ewe Lim,,Jelutong,UNKNOWN,11600,,5.393008,100.306,UNKNOWN,,1,Default AC heuristic,0,2.26,2.26,1.0,1.05,1.0,2.0,0.3,60.0
459750,A6CBCA75-80CB-40F6-A41F-5F85422F3163,MBPP PASAR BATU LANCHANG (Public Area),BATU LANCHANG,,JELUTONG,UNKNOWN,,,5.389948,100.305725,UNKNOWN,,2,Default AC heuristic,0,2.36,1.18,1.0,1.05,1.0,2.0,0.3,60.0
459749,1B65B6D8-15AA-409F-B82F-1DE046082BB6,[Restricted] BAYSWATER CONDOMINIUM (Residential Condo),Bayswater Resort Condominium,,Gelugor,UNKNOWN,11700,,5.376084,100.314514,UNKNOWN,,7,Venue multi-bay heuristic,0,4.51,0.64,1.0,1.05,1.0,2.0,0.3,60.0
459748,70414430-F133-48EF-8E20-C26B75BC486E,[Restricted] PLATINO CONDOMINIUM (Residential Condo),"no 1, Persiaran Tunku Kudin",,Jelutong,UNKNOWN,11700,,5.376035,100.312653,UNKNOWN,,1,Default AC heuristic,0,2.07,2.07,1.0,1.05,1.0,2.0,0.3,60.0
459747,32D45CD2-946D-4E91-9C4F-18AF0B257B93,"MBPP PASAR JALAN PERMAI, GELUGOR (Commercial)",Pasar Jalan Permai,,Penang,Penang,,,5.371862,100.301521,Penang,,2,Default AC heuristic,0,5.5,2.75,1.35,1.35,1.0,2.0,0.3,60.0
459746,6B9C69CB-7C3E-4B88-8A84-9D4D8B7B583D,MYDIN BUKIT MERTAJAM (Shopping Mall),Mydin Mall Bukit Mertajam,,Bukit Mertajam,UNKNOWN,13600,,5.368251,100.414551,UNKNOWN,,6,Venue multi-bay heuristic,0,4.33,0.72,1.0,1.05,1.0,2.0,0.3,60.0
459745,03EFF070-B688-452C-BAD1-53F038DE939B,MYDIN GONG BADAK (Shopping Mall),Mydin Mall Gong Badak,,Kuala Terengganu,Terengganu,21300,,5.355653,103.096504,Terengganu,,6,Venue multi-bay heuristic,0,5.66,0.94,1.08,1.05,1.0,2.0,0.3,60.0
459744,B30A10FD-B1E5-4C53-BEC2-EAE151B92BBB,[Restricted] PANGSAPURI SERI JAYA BUKIT MERTAJAM (Residential Condo),Pangsapuri Seri Jaya,,Bukit Mertajam,UNKNOWN,14000,,5.349842,100.472855,UNKNOWN,,1,Default AC heuristic,0,3.18,3.18,1.0,1.05,1.0,2.0,0.3,60.0
459743,B7681568-D226-4C70-8EAB-3BFFC17CDCFD,[Restricted] BERJAYA CONDOMINIUM (Residential Condo),Berjaya Condominium,,Bukit Mertajam,UNKNOWN,14000,,5.348321,100.470856,UNKNOWN,,2,Default AC heuristic,0,3.4,1.7,1.0,1.05,1.0,2.0,0.3,60.0
459742,677D6749-BBC0-4DD5-80FF-B4A1EB720725,[Restricted] ICONIC SKIES (Residential Condo),Iconic Skies,,Bayan Lepas,UNKNOWN,11900,,5.342919,100.281273,UNKNOWN,,2,Default AC heuristic,0,4.43,2.21,1.0,1.05,1.0,2.0,0.3,60.0
459741,9061E81F-2CF1-4B99-89D2-0A630BC841D7,MBPP KOMPLEX SUKAN BANDARAYA RELAU (Commercial),Kompleks Sukan Bandaraya Relau,,Bayan Lepas,UNKNOWN,11900,,5.342166,100.271591,UNKNOWN,,2,Default AC heuristic,0,2.73,1.36,1.0,1.05,1.0,2.0,0.3,60.0
459740,5443180A-43ED-4D97-96AE-29151114870F,[Restricted] QUAY WEST RESIDENCE (Residential Condo),QuayWest Residence,,Bayan Lepas,UNKNOWN,11900,,5.342048,100.310806,UNKNOWN,,2,Default AC heuristic,0,3.5,1.75,1.0,1.05,1.0,2.0,0.3,60.0
459739,BD95B380-EEFF-486D-B482-099DA1764133,[Restricted] PUTRA PLACE CONDOMINIUM (Residential Condo),"118, Persiaran Bayan Indah",,Bayan Lepas,UNKNOWN,11900,,5.340545,100.309975,UNKNOWN,,1,Default AC heuristic,0,1.57,1.57,1.0,1.05,1.0,2.0,0.3,60.0
459738,2B2F70FA-78B1-468D-932E-8FB0D63ED0D4,MAYANG MALL (Shopping Mall),Mayang Mall,,Kuala Terengganu,Terengganu,20000,,5.337903,103.143982,Terengganu,,4,Venue multi-bay heuristic,0,2.58,0.65,1.08,1.05,1.0,2.0,0.3,60.0
459737,8B97FBB5-3EF5-41DA-9A9B-BDD2D6AF0043,MBPP GOLDEN TRIANGLE (Public Area),GOLDEN TRIANGLE,,Bayan Lepas,UNKNOWN,11900,,5.33707,100.270882,UNKNOWN,,1,Default AC heuristic,0,1.66,1.66,1.0,1.05,1.0,2.0,0.3,60.0
459736,EE2B80B5-C963-4E1F-B630-29D04DE78E63,[Restricted] IMPERIAL RESIDENCES CONDOMINIUM (Residential Condo),Imperial Residence Condominium,,Bayan Lepas,UNKNOWN,,,5.334093,100.271492,UNKNOWN,,2,Default AC heuristic,0,3.84,1.92,1.0,1.05,1.0,2.0,0.3,60.0
459735,6616476E-C123-4748-9F2B-6F1A139AE8B9,MBPP MEDAN KAMPUNG RELAU (Public Area),Medan Kampung Relau,,Bayan Lepas,UNKNOWN,11900,,5.333898,100.294701,UNKNOWN,,1,Default AC heuristic,0,1.89,1.89,1.0,1.05,1.0,2.0,0.3,60.0
459734,598075A6-38A0-450C-9EA4-21B086452C78,MBPP 7 ELEVEN BALIK PULAU (Public Area),KEDAI JERUK TEIK SEANG,,Balik Pulau,UNKNOWN,11000,,5.333833,100.21698,UNKNOWN,,2,Default AC heuristic,0,4.3,2.15,1.0,1.05,1.0,2.0,0.3,60.0
459733,D2D242BC-8A51-48EB-BEAD-C8921A4C9B38,[Restricted] NOVUS RESIDENCES (Residential Condo),Novus Residences,,Bayan Lepas,UNKNOWN,11900,,5.332276,100.298653,UNKNOWN,,2,Default AC heuristic,0,3.27,1.63,1.0,1.05,1.0,2.0,0.3,60.0
459732,7ED44E4F-B41D-42AF-8518-64C892867EF8,PROTON e.MAS KUALA TERENGGANU (Car Showroom),Proton Indahsari Otomobil 3S - K.Terengganu (065639-M),,Kuala Terengganu,Terengganu,20400,,5.315983,103.150764,Terengganu,,1,Default AC heuristic,0,2.38,2.38,1.08,1.05,1.0,2.0,0.3,60.0
